[2025-05-22T10:29:58.380+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.393+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.405+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.415+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.427+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.438+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.451+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.462+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.472+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.484+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.495+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.505+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.517+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.528+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.540+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.552+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.564+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.576+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.587+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.597+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.612+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.624+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.634+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
